Name,Price
Просвіта,100
Бандерівська,100
Реляксова,95
Вечірня,95
Кава з вершками,130
Кава з імбирним пряником,110
Панське лате з трояндами,100
Райська насолода,120
Пряно-медова кава з вершками,130
Горіх лате з вершками,120
Мокко,120
Кавове фрапе,125
Гарбузове лате,120
Гарбузова кава з вершками,130
"Та, що подають у ліжко",135
Для закоханих,175
Кава з кавовим лікером,150
Коли паде дощ,140
Американо/Безкофеїнова,70
Допіо/Безкофеїнове,70
Фільтр кава мала,90
Фільтр кава велика,95
Глясе,90
Капучино,85
Флет Вайт,90
Лате,95
Зимне лате,95
Рослинне молоко,60
Рослинне молоко,65
Матча лате,125
Айс матча лате,125
Матча тонік,125
Помаранчева матча,125
Айс матча манго-маракуя,125
Матча афогато з лимонним сорбетом,135
Лимонад класичний,125
Лимонад пряне яблуко,125
Помаранчева,125
Еспресо-тонік,125
Молочний коктейль,125
Банановий коктейль,125
Молочний ягідний коктейль,125
Ягідне смузі,125
Мангове смузі,125
Безалкогольне мохіто,125
1895,225
Кавова експлозія,225
Чай вишневий власного виробництва,125
Чай гарбузовий власного виробництва,125
Чай апельсиновий власного виробництва,125
Чай,75
Какао з зефіром,120
Дитяче лате,120
Темне какао,110
Сади підзамче,200
Кавовий меланж,200
Осінній Львів,200
Вишнева здибанка,200
Погулянка,200
Пиріг зі сливою,185
Гарбузовий пиріг,185
Сінабон з корицею,85
Трайфл кавовий з горіхами,100
Тарт шоколадний з горіхами,100
Тарт фісташка-полуниця,125
Тарт з манго,125
Штрудель яблучний,160
Мармуровий чизкейк,185
Чизкейк Орео,185
Наполеон,190
Сирник з грушею,175
Сирник з  маракуєю,175
Медівник,165
Три шоколади,165
Сирник з полуничним кюлі,175
Горішки зі згущиком,80
Брауні з вишнею,125
Карамельний чизкейк,165
Лимонний тарт,165
Морозиво,150
Кавівка класична,60
Кавівка вершкова,60
Becherovka,126
Бальзам трав'яний Ruta,126
Amaretto De Kuyper,126
Vana Tallinn,126
Jack Daniel`s Honey,176
Charis,126
Amaretto De Kuyper,126
Сік Galicia прямого віджиму,85
Соки та нектари Jaffa,80
Кока-кола/ Кока-кола Зеро,65
Фанта апельсин/ Спрайт,65
Мінеральна вода Боржомі,90
Вода Трускавецька Нафтуся,65
Вода Kulturrra слаб/газ пет,40
Ballantine`s Finest,136
Ballentine`s 7 YO Bourbon Finish,166
Jameson,166
Jameson Black Barrel,250
Jameson Cold Brew,166
Jack Daniel`s Old No. 7,166
Aberlour 12 років,500
Віскі Woodfford Reserve,276
The Deacon,400
"Коньяк України ""SHABO RESERVE"" 5*",80
Zakarpatskyy,86
Tysa,200
ARARAT Ani 7 YO,200
ARARAT Coffee,146
ARARAT Apricot,146
Havana Club Anejo 7 Anos,176
Havana Club  Anejo Especial,126
Beefeater,130
Beefeater Pink Strawberry,130
Olmeca Altos Plata,150
APEROL APERITIVO,86
Ром BRUGAL 1888,300
Cava Jaume Serra,130
Masottina Prosecco,150
Колоніст Шардоне,150
Peter Nicolay Riesling Trocken,150
"Sant'Orsola, Вianco",90
Rose d`Anjou,120
Одеське чорне. Колоніст,140
"Bodegas Atalya, Laya",150
SantOrsola Vino Rosso,140
Porto Ruby. Sandeman,120
Late Harvest. Terapaca,100
Cava Jaume Serra,650
Masottina Prosecco,750
Peter Nicolay Riesling Trocken,750
"Sant'Orsola, Вianco",450
Rose d`Anjou,600
Одеське чорне. Колоніст,700
"Bodegas Atalya, Laya",750
Sant'Orsola Vino Rosso,700
Porto Ruby. Sandeman,900
Late Harvest. Terepaca,500
Колоніст Шардоне,750
"""Кавове пиво""",110
